time,x,y,z
1766255381.6270878,-0.033443145,0.023228616,-2.7082682
1766255381.7270696,-0.03263204,0.022665247,-2.7395968
1766255381.8270624,-0.031825896,0.022105321,-2.770734
1766255381.9269664,-0.03102503,0.021549065,-2.8016672
1766255382.0272372,-0.030229751,0.020996686,-2.8323846
1766255382.1272418,-0.029440355,0.020448398,-2.8628747
1766255382.2272782,-0.028657176,0.019904424,-2.8931248
1766255382.3269176,-0.027880494,0.01936496,-2.923124
1766255382.4269385,-0.027110606,0.018830221,-2.9528608
1766255382.5269926,-0.026347801,0.0183004,-2.982324
1766255382.6271002,-0.02559238,0.017775707,-3.0115018
1766255382.7270324,-0.024844602,0.017256323,-3.0403843
1766255382.8269265,-0.024104767,0.016742457,-3.0689604
1766255382.9272335,-0.023373134,0.016234286,-3.0972195
1766255383.0272014,-0.022649981,0.015732005,-3.1251512
1766255383.12717,-0.02193556,0.015235789,-3.1527455
1766255383.227161,-0.021230131,0.014745817,-3.1799924
1766255383.3270211,-0.020533942,0.014262266,-3.2068825
1766255383.4269278,-0.01984723,0.013785295,-3.2334065
1766255383.5268557,-0.019170247,0.013315085,-3.2595549
1766255383.6268926,-0.018503226,0.01285179,-3.2853184
1766255383.7271004,-0.017846376,0.0123955645,-3.3106887
1766255383.8270636,-0.017199926,0.011946559,-3.3356578
1766255383.9270806,-0.016564086,0.011504922,-3.360217
1766255384.0269575,-0.01593905,0.011070792,-3.384359
1766255384.1271763,-0.015325025,0.0106443055,-3.4080753
1766255384.227069,-0.014722198,0.0102256015,-3.4313595
1766255384.326912,-0.014130734,0.009814791,-3.4542043
1766255384.4267802,-0.013550825,0.009412002,-3.4766033
1766255384.52688,-0.012982622,0.009017345,-3.49855
1766255384.6268685,-0.0124262795,0.008630924,-3.5200386
1766255384.727143,-0.0118819475,0.008252852,-3.541063
1766255384.8288732,-0.011349775,0.007883213,-3.5616183
1766255384.926958,-0.010829866,0.007522106,-3.5816996
1766255385.0268278,-0.010322362,0.0071696043,-3.601302
1766255385.1268368,-0.0098273605,0.0068257935,-3.6204212
1766255385.2269452,-0.009344965,0.006490737,-3.6390533
1766255385.3269897,-0.008875266,0.006164495,-3.6571956
1766255385.426835,-0.008418329,0.0058471225,-3.6748443
1766255385.526765,-0.007974252,0.005538676,-3.6919968
1766255385.6272151,-0.0075430647,0.0052391887,-3.7086513
1766255385.7271435,-0.0071248263,0.0049486943,-3.7248056
1766255385.8268971,-0.0067195743,0.004667219,-3.7404583
1766255385.9269125,-0.006327331,0.004394777,-3.7556086
1766255386.0269525,-0.0059481263,0.0041313916,-3.7702556
1766255386.126895,-0.0055819377,0.0038770512,-3.7843993
1766255386.2268157,-0.00522878,0.003631752,-3.79804
1766255386.3268805,-0.0048886165,0.0033954866,-3.8111787
1766255386.4268372,-0.004561417,0.0031682253,-3.8238165
1766255386.5269487,-0.0042471364,0.0029499345,-3.8359556
1766255386.626832,-0.003945723,0.0027405806,-3.8475976
1766255386.7267942,-0.0036570951,0.0025401078,-3.8587458
1766255386.8269339,-0.0033811703,0.0023484603,-3.8694031
1766255386.926947,-0.0031178594,0.0021655746,-3.8795736
1766255387.0267546,-0.0028670505,0.0019913688,-3.889261
1766255387.126889,-0.0026286095,0.0018257536,-3.8984706
1766255387.2268207,-0.00240241,0.0016686432,-3.9072077
1766255387.3269167,-0.0021882951,0.0015199259,-3.9154778
1766255387.4268208,-0.0019861013,0.0013794862,-3.9232876
1766255387.526924,-0.0017956346,0.0012471974,-3.930644
1766255387.626717,-0.0016167164,0.0011229254,-3.9375548
1766255387.7267442,-0.0014491305,0.001006525,-3.9440277
1766255387.8268595,-0.0012926534,0.00089783594,-3.9500718
1766255387.926912,-0.0011470392,0.00079669803,-3.9556959
1766255388.0268984,-0.0010120347,0.0007029325,-3.9609103
1766255388.126878,-0.0008873716,0.00061634555,-3.9657254
1766255388.2267864,-0.0007727593,0.0005367361,-3.9701524
1766255388.3268898,-0.00066789985,0.00046390295,-3.9742026
1766255388.426729,-0.00057246536,0.00039761513,-3.9778888
1766255388.5268257,-0.00048612058,0.0003376454,-3.9812236
1766255388.626751,-0.00040852278,0.0002837479,-3.984221
1766255388.7269323,-0.000339292,0.00023566186,-3.986895
1766255388.8267303,-0.00027804822,0.00019311905,-3.9892607
1766255388.926925,-0.00022437423,0.0001558438,-3.9913335
1766255389.026865,-0.00017786771,0.00012354553,-3.9931297
1766255389.1267798,-0.00013808161,9.590387e-05,-3.9946668
1766255389.226714,-0.00010454655,7.262081e-05,-3.9959617
1766255389.326681,-7.6815486e-05,5.3353608e-05,-3.997033
1766255389.4267366,-5.4359436e-05,3.7759542e-05,-3.9979002
1766255389.5268214,-3.670156e-05,2.5495887e-05,-3.9985824
1766255389.6266484,-2.3290515e-05,1.617521e-05,-3.9991004
