time,x_est,y_est,z_est,x_sp,y_sp,z_sp
15978.5,-0.198811,-0.0518422,-1.11558,-0.0372602,-0.0131811,-3.54975
15978.5,-0.198469,-0.0514062,-1.11651,-0.0357311,-0.0126401,-3.56823
15978.5,-0.198133,-0.0509753,-1.11742,-0.0342328,-0.0121101,-3.58633
15978.5,-0.19748,-0.0500901,-1.1192,-0.0327659,-0.0115912,-3.60406
15978.6,-0.197173,-0.04962,-1.12005,-0.0313306,-0.0110834,-3.6214
15978.6,-0.196893,-0.0491277,-1.12089,-0.0299273,-0.010587,-3.63836
15978.6,-0.196644,-0.048609,-1.1217,-0.0285564,-0.010102,-3.65493
15978.6,-0.19625,-0.047469,-1.12328,-0.0272182,-0.00962863,-3.6711
15978.6,-0.196112,-0.0468386,-1.12405,-0.025913,-0.0091669,-3.68687
15978.6,-0.196015,-0.0461628,-1.1248,-0.024641,-0.00871693,-3.70224
15978.6,-0.195934,-0.0454317,-1.12553,-0.0234025,-0.00827879,-3.71721
15978.6,-0.195908,-0.0438125,-1.12694,-0.0221976,-0.00785257,-3.73177
15978.6,-0.195964,-0.0429202,-1.12764,-0.0210267,-0.00743833,-3.74592
15978.7,-0.196066,-0.0419704,-1.12831,-0.0198897,-0.00703613,-3.75965
15978.7,-0.196931,-0.041117,-1.12855,-0.0187869,-0.00664599,-3.77298
15978.7,-0.198783,-0.0392359,-1.12901,-0.0177183,-0.00626798,-3.78589
15978.7,-0.199821,-0.0382176,-1.12922,-0.016684,-0.0059021,-3.79839
15978.7,-0.200859,-0.0371074,-1.12945,-0.0156841,-0.00554837,-3.81047
15978.7,-0.201953,-0.0359396,-1.1297,-0.0147186,-0.0052068,-3.82214
15978.7,-0.204278,-0.0334444,-1.13019,-0.0137873,-0.00487737,-3.83339
15978.7,-0.205494,-0.0321243,-1.13043,-0.0128904,-0.00456007,-3.84423
15978.7,-0.206736,-0.0307608,-1.13067,-0.0120276,-0.00425486,-3.85466
15978.7,-0.208,-0.029357,-1.1309,-0.0111989,-0.0039617,-3.86467
15978.8,-0.210582,-0.0264282,-1.13138,-0.0104042,-0.00368054,-3.87428
15978.8,-0.211784,-0.0248318,-1.13159,-0.00964309,-0.00341132,-3.88347
15978.8,-0.212793,-0.0232302,-1.13175,-0.00891554,-0.00315394,-3.89227
15978.8,-0.21393,-0.0213583,-1.13136,-0.00822124,-0.00290832,-3.90066
15978.8,-0.216682,-0.0175046,-1.13056,-0.00755991,-0.00267437,-3.90865
15978.8,-0.217853,-0.0151742,-1.13014,-0.00693117,-0.00245195,-3.91624
15978.9,-0.218674,-0.0130271,-1.12972,-0.00633472,-0.00224096,-3.92345
15978.9,-0.219575,-0.0110554,-1.12937,-0.00577015,-0.00204123,-3.93027
15978.9,-0.22201,-0.00734412,-1.12888,-0.00523698,-0.00185262,-3.93672
15978.9,-0.223001,-0.00518361,-1.12867,-0.00473477,-0.00167496,-3.94279
15978.9,-0.223686,-0.00314672,-1.12849,-0.004263,-0.00150806,-3.94849
15978.9,-0.224432,-0.00115247,-1.12838,-0.0038211,-0.00135174,-3.95383
15978.9,-0.226488,0.00282446,-1.1284,-0.00340849,-0.00120578,-3.95881
15978.9,-0.227661,0.00484415,-1.12852,-0.00302453,-0.00106995,-3.96345
15978.9,-0.228493,0.00700595,-1.12869,-0.00266856,-0.000944026,-3.96775
15978.9,-0.229226,0.00912362,-1.12895,-0.00233984,-0.000827737,-3.97173
15979,-0.230323,0.0125794,-1.12856,-0.00203763,-0.000720829,-3.97538
15979,-0.230942,0.0142111,-1.12854,-0.00176114,-0.00062301,-3.97872
15979,-0.231566,0.0157906,-1.12861,-0.00150949,-0.000533991,-3.98176
15979,-0.232147,0.0173207,-1.12879,-0.00128181,-0.00045345,-3.98451
15979,-0.233048,0.0202339,-1.12944,-0.00107719,-0.000381067,-3.98698
15979,-0.23334,0.0216156,-1.12987,-0.000894651,-0.000316486,-3.98919
15979,-0.233521,0.0229443,-1.13035,-0.000733152,-0.000259362,-3.99114
15979,-0.233612,0.0242454,-1.13089,-0.000591636,-0.000209294,-3.99285
15979,-0.23351,0.0266895,-1.13212,-0.000469014,-0.000165917,-3.99433
15979,-0.233341,0.0278363,-1.1328,-0.000364095,-0.000128798,-3.9956
15979.1,-0.233106,0.0289371,-1.13351,-0.000275686,-9.75206e-05,-3.99667
15979.1,-0.232815,0.0299954,-1.13424,-0.000202537,-7.16522e-05,-3.99755
15979.1,-0.23118,0.0320176,-1.13504,-0.000143349,-5.07087e-05,-3.99827
15979.1,-0.230316,0.032973,-1.1355,-9.6783e-05,-3.42354e-05,-3.99883
15979.1,-0.229441,0.0338865,-1.13598,-6.14077e-05,-2.17259e-05,-3.99926
15979.1,-0.228547,0.0347708,-1.13647,-3.58075e-05,-1.2666e-05,-3.99957
15979.1,-0.226727,0.036464,-1.13748,-1.84774e-05,-6.53416e-06,-3.99978
15979.1,-0.225809,0.0372787,-1.13799,-7.85291e-06,-2.77907e-06,-3.99991
15979.1,-0.224891,0.0380755,-1.13851,-2.33948e-06,-8.27014e-07,-3.99997
15979.1,-0.223975,0.0388567,-1.13905,-2.98023e-07,-1.04308e-07,-4
15979.2,-0.223065,0.0396238,-1.13958,0,0,-4
15979.2,-0.221267,0.0411062,-1.14063,0.0239618,-0.00695468,-3.9715
15979.2,-0.220384,0.04183,-1.14114,0.0239642,-0.00695219,-3.9715
15979.2,-0.219512,0.0425428,-1.14163,0.0239812,-0.00693491,-3.9715
15979.2,-0.218547,0.0436514,-1.14224,0.024027,-0.00688846,-3.9715
15979.2,-0.218436,0.0440492,-1.14233,0.0241152,-0.0067989,-3.9715
15979.2,-0.218319,0.0444376,-1.14241,0.0242591,-0.00665273,-3.97151
15979.2,-0.218196,0.0448158,-1.14247,0.0244716,-0.00643689,-3.97151
15979.2,-0.217963,0.045528,-1.1426,0.0247651,-0.00613874,-3.97151
15979.2,-0.217836,0.0458625,-1.14265,0.0251518,-0.00574606,-3.97152
15979.3,-0.217703,0.0461803,-1.1427,0.0256431,-0.00524706,-3.97153
15979.3,-0.217562,0.0464799,-1.14272,0.0262503,-0.00463037,-3.97154
15979.3,-0.217256,0.0470202,-1.14274,0.0269841,-0.00388502,-3.97155
15979.3,-0.21709,0.04726,-1.14275,0.0278551,-0.00300044,-3.97156
15979.3,-0.216917,0.0474794,-1.14276,0.0288731,-0.00196649,-3.97157
15979.3,-0.216767,0.0476657,-1.14275,0.0300478,-0.000773387,-3.97159
15979.3,-0.216443,0.0479817,-1.1427,0.0313885,0.000588222,-3.97161
15979.3,-0.216574,0.0479741,-1.14388,0.0329039,0.00212732,-3.97163
15979.3,-0.21669,0.0479509,-1.14503,0.0346025,0.0038525,-3.97166
15979.3,-0.216792,0.0479121,-1.14616,0.0364924,0.00577199,-3.97168
15979.4,-0.216951,0.0477888,-1.14832,0.0385813,0.00789361,-3.97171
15979.4,-0.217008,0.0477113,-1.14936,0.0408767,0.0102249,-3.97175
15979.4,-0.21705,0.0476189,-1.15036,0.0433854,0.0127728,-3.97178
15979.4,-0.217081,0.0475118,-1.15133,0.0461141,0.0155443,-3.97182
15979.4,-0.217103,0.0472543,-1.15324,0.0490692,0.0185455,-3.97186
15979.4,-0.217096,0.0471046,-1.15416,0.0522565,0.0217827,-3.97191
15979.4,-0.217077,0.0469417,-1.15506,0.0556816,0.0252615,-3.97196
15979.4,-0.217046,0.0467659,-1.15593,0.0593499,0.0289871,-3.97201
15979.4,-0.216936,0.0463809,-1.15763,0.0632662,0.0329647,-3.97207
15979.4,-0.21648,0.0458814,-1.15792,0.0674352,0.0371989,-3.97213
15979.5,-0.216022,0.0453752,-1.1582,0.0718611,0.0416941,-3.97219
15979.5,-0.215561,0.0448624,-1.15848,0.0765479,0.0464542,-3.97226
15979.5,-0.214631,0.0438185,-1.15902,0.0814991,0.0514829,-3.97233
